round,train_accuracy,train_loss
0,0.11,0.4338528316232288
1,0.18,0.4041854727955609
2,0.18,0.45781036992635865
3,0.37,0.4051858909108882
4,0.4,0.39076442713487763
5,0.48,0.42072495079565336
6,0.57,0.3306423310890165
7,0.58,0.36363146770793175
8,0.71,0.3465008580460298
""
,test_accuracy,test_loss
,0.562,0.27704993287148516
""
,input_words,300
,epochs,3
